PaddleX,ActionX,BallsData
-0.2999997,1,4.317013:3.685571
2.384186E-07,1,4.317013:3.493118
0.3000001,1,4.317013:3.310578
0.6,1,4.317013:3.148057
0.8999999,1,4.317013:2.963621
1.2,1,4.317013:2.77739
1.5,1,4.317013:2.584849
1.8,1,4.317013:2.391513
2.1,1,4.317013:2.194537
2.4,1,4.317013:1.989318
2.7,1,4.317013:1.7788
3,1,4.317013:1.568036
3.299999,1,4.317013:1.354161
3.599999,1,4.317013:1.131063
3.899999,1,4.317013:0.9254028
4.199999,1,4.317013:0.6984218
4.499999,0,4.317013:0.46204
4.499999,0,4.317013:0.2226636
4.499999,0,4.317013:0.06592521
4.499999,0,4.317013:-0.2444037
4.499999,0,4.317013:-0.4703221
4.499999,0,4.317013:-0.6194339
4.499999,0,4.317013:-0.7724698
4.499999,0,4.317013:-1.253621
4.499999,0,4.317013:-1.517945
4.499999,0,4.317013:-1.783554
4.499999,0,4.317013:-2.051556
4.499999,0,4.317013:-2.328378
4.499999,0,4.317013:-2.604975
4.499999,0,4.317013:-2.885292
4.499999,0,4.317013:-3.152736
4.499999,0,
4.499999,0,
4.499999,0,5.250889:5.979033
4.499999,0,5.250889:5.875095
4.499999,0,5.250889:5.767754
4.499999,0,5.250889:5.653579
4.499999,0,5.250889:5.53414
4.499999,0,5.250889:5.428521
4.499999,0,5.250889:5.282728
4.499999,0,5.250889:5.214834
4.499999,0,5.250889:5.026369
4.499999,0,5.250889:4.889722
4.499999,-1,5.250889:4.827702
4.199999,-1,5.250889:4.784538
3.899999,-1,5.250889:4.466944
3.599999,-1,5.250889:4.397261
3.299999,-1,5.250889:4.164429
3,0,5.250889:4.037213
3,0,5.250889:3.835919
3,0,5.250889:3.733791
3,0,5.250889:3.494782
3,0,5.250889:3.337606
3,0,5.250889:3.216898
3,0,5.250889:2.95643
3,1,5.250889:2.780981
3.299999,1,5.250889:2.635578
3.599999,1,5.250889:2.392686
3.899999,1,5.250889:2.192913
4.199999,0,5.250889:2.06722
4.199999,0,5.250889:1.961272
4.199999,0,5.250889:1.581728
4.199999,0,5.250889:1.449574
4.199999,0,5.250889:1.151864
4.199999,0,5.250889:0.9519383
4.199999,0,5.250889:0.6988589
4.199999,0,5.250889:0.4691969
4.199999,0,5.250889:0.2371041
4.199999,0,5.250889:0.000348201
